comment,comment_cleaned,n_star,BATTERY,CAMERA,DESIGN,FEATURES,GENERAL,PERFORMANCE,PRICE,SCREEN,SER&ACC,STORAGE
Cho mình hỏi tắt quảng cáo trên điện thoại ạ . Mới mua về vài hôm mà nó cứ tụ phát quảng cáo hoài ngày khi mình đã khoá màn hình cũng chạy quảng cáo . Mong được phản hồi,cho mình hỏi tắt quảng_cáo trên điện_thoại ạ mới mua về vài hôm nó cứ tụ phát quảng_cáo hoài ngày khi mình đã khoá màn_hình cũng chạy quảng_cáo mong được phản_hồi,5,0,0,0,0,0,1,0,0,0,0
"điện thoại thiết kế sang trọng, cameraa chụp ảnh rất tốt, pin dùng ổn định, máy dùng mượt, không bị đơ",điện_thoại thiết_kế sang_trọng cameraa chụp ảnh rất tốt pin dùng tốt định máy dùng nhanh không_bị đứng máy,5,3,3,3,0,0,3,0,0,0,0
Pin trâu . Giá rẻ. Cấu hình ngon . Mượt mà . Máy chơi game rất tốt . Nhân viên tư vấn nhiệt tình,pin trâu giá rẻ cấu_hình ngon nhanh máy chơi trò_chơi rất tốt nhân_viên tư_vấn nhiệt_tình,5,3,0,0,0,0,3,3,0,3,0
"Không nên mua, không tương xứng trong cùng phân khúc, chụp ảnh kém mờ, được mỗi pin trâu .",không_nên mua không_tương_xứng trong cùng phân khúc chụp ảnh kém mờ được mỗi pin trâu,1,3,1,0,0,1,0,2,0,0,0
"Cập nhật lại ổn nhưng camera xấu xấu tệ, hy vọng cập nhật lại camera tốt hơn cho bản sau",cập_nhật lại tốt nhưng camera xấu xấu tệ hy_vọng cập_nhật lại camera tốt hơn cho bản sau,3,0,1,0,0,0,3,0,0,0,0
"Mới dùng đc tầm nửa tháng thấy khá là OK mượt
Chơi game mức độ mặc định cũng OK pin đc lâu sạc nhanh",mới dùng được tầm nửa tháng thấy khá tốt nhanh chơi trò_chơi mức_độ mặc_định cũng tốt pin được lâu sạc nhanh,5,3,0,0,0,3,3,0,0,0,0
Tại sao thì thoảng tôi mở máy thì phải đợi 5-10s thì màn hình mới lên nó làm tôi thấy khó chịu còn lại thì ok,tại_sao thoảng tôi mở máy phải đợi 5 10s màn_hình mới lên nó làm tôi thấy khó_chịu còn lại tốt,4,0,0,0,0,3,1,0,0,0,0
"iphone luôn ổn định, thiết kế không có gì mới nhưng vẫn chưa lỗi thời, mình chưa được cầm con iphone nào nhưng mình nghĩ pin của nó đủ xài trong ngày, bạn nào bảo pin nó yếu là do một ngày xài quá nhiều thôi, thích iphone từ lâu mỗi tội tài chính eo hẹp, đang tich góp để cuối năm rước một e zìa quê luôn.",iphone luôn tốt định thiết_kế không_có gì mới nhưng vẫn chưa_lỗi_thời mình chưa_được cầm con iphone nào nhưng mình nghĩ pin của nó đủ xài trong ngày bạn nào bảo pin nó yếu do một ngày xài quá nhiều thôi thích iphone từ lâu mỗi tội tài_chính eo_hẹp đang tich góp để cuối năm rước một e zìa quê luôn,5,2,0,2,0,3,0,0,0,3,0
Đã mua và đag dùng rất thất vọng camera mờ hay nổi quảng cáo.pin xuống rraats nhanh. Khuyên mọi người đừng mua..,đã mua và đag dùng rất thất_vọng camera mờ hay nổi quảng_cáo pin xuống rraats nhanh khuyên mọi người đừng_mua,1,1,1,0,0,1,1,0,0,0,0
Lỗi lưu ảnh và viền 4 góc sáng . Khá là bực. Mong Xiaomi việt nam sớm có cách khắc phục,lỗi lưu ảnh và viền 4 góc sáng khá bực mong xiaomi việt_nam sớm có cách khắc_phục,1,0,0,0,1,0,0,0,1,2,0
"Tôi nghĩ rằng nó được 4 star với 1,2tr tầm giá rẻ rách, nếu như đường truyền không chập chờn thì nó sẽ được tôi đánh giá 5 star.",tôi nghĩ rằng nó được 4 star với 1 2tr tầm giá rẻ rách nếu như đường truyền không_chập_chờn nó sẽ được tôi đánh_giá 5 star,4,0,0,0,1,0,0,3,0,0,0
"Máy dùng ok, chỉ cài khóa mk, vân tay khuôn mặt rồi mà khi mở lại ko cần, vuốt là mở đc, còn lại ổn, bluetooth bình thường pin lâu, nhạc hay..",máy dùng tốt chỉ cài khóa mình vân tay khuôn_mặt rồi khi mở lại không_cần vuốt mở được còn lại tốt bluetooth bình_thường pin lâu nhạc hay,4,3,0,0,2,3,0,0,0,0,0
Tgdd tôi không còn tin tưởng nữa rồi một hệ thống bán lẻ điện thoại lớn nhất vn tôi mới mua tại cửa hàng số 473 đường Kính Dương Vương làm tôi quá thất vọng cảm giấc như mình bị lừa thất vọng vô cùng luôn chắc phải chuyển qua hệ thống khác thôi,tgdd tôi không_còn tin_tưởng nữa rồi một hệ_thống bán_lẻ điện_thoại lớn nhất vn tôi mới mua tại cửa_hàng số 473 đường_kính dương vương làm tôi quá thất_vọng cảm_giấc như mình lừa thất_vọng vô_cùng luôn chắc phải chuyển qua hệ_thống khác thôi,1,0,0,0,0,0,0,0,0,1,0
Máy chs game khá mượt.pin trâu mọi vấn đề đều ok sản phẩm trong tầm giá này là quá tuyệt vời *****,máy chs trò_chơi khá nhanh pin trâu mọi vấn_đề đều tốt sản_phẩm trong tầm giá này quá tuyệt_vời,5,3,0,0,0,3,3,2,0,0,0
"Điện thoại đẹp, màn hình rõ, nghe gọi OK, chụp hình cũng đẹp, giá tầm này thì quá OK rồi. nhân viên TGDD thoại sơn an giang thì cực kỳ dễ thương luôn 🥰🥰🥰",điện_thoại đẹp màn_hình rõ nghe gọi tốt chụp hình cũng đẹp giá tầm này quá tốt rồi nhân_viên tgdd thoại_sơn an_giang cực_kỳ dễ_thương luôn,5,0,3,3,3,0,0,3,3,3,0
"Xài ok, máy mượt, chụp ảnh đẹp, sạc nhanh mà sao nhiều bạn chê tào lao quá. Pin 4k mà xài 1 ngày vầy là tốt rồi",xài tốt máy nhanh chụp ảnh đẹp sạc nhanh sao nhiều bạn không_thích tào_lao quá pin 4 nghìn xài 1 ngày vầy tốt rồi,5,3,3,0,0,3,3,0,0,0,0
"Với s20 ultra mức giá này bằng với Oppo find x2 thì nên mua find x2 vì Oppo hơn hẳn con ultra về cấu hình, màn hình, pin và tốc độ sạc. Ultra chỉ hơn được về chụp ảnh thôi, còn Oppo find x2 max mượt, max phê",với s20 ultra mức giá này bằng với oppo find x2 nên mua find x2 vì oppo hơn hẳn con ultra về cấu_hình màn_hình pin và tốc_độ sạc ultra chỉ hơn được về chụp ảnh thôi còn oppo find x2 max nhanh max phê,4,1,3,0,0,0,1,0,1,1,0
Máy mới mua về xài được 10 bựa tự tiện bị đo treo logo 10p sau mới khỏi ding lại được. Tính năng chụp màn hình nứt nguồn với giảm âm lượng không chụp được,máy mới mua về xài được 10 bựa tự_tiện đo đứng máy logo 10p sau mới khỏi ding lại được tính_năng chụp màn_hình nứt nguồn với giảm âm_lượng không_chụp được,1,0,0,0,1,0,1,0,0,0,0
"Sau 1 tuần sử dụng thì mình đánh giá như sau, về camera thì thấy cũng bình thường, cam truớc không được tốt lắm. Cấu hình không bằng con Vsmart 5tr. Máy đẹp, nhẹ, mỏng. Pin cũng tạm, mỗi ngày sạc pin 1 lần. Bạn nào mua vì màn đẹp vs camera thì nên mua. Còn mua để chơi game thì ko nên lựa",sau 1 tuần sử_dụng mình đánh_giá_như sau về camera thấy cũng bình_thường camera truớc không_được tốt lắm cấu_hình không_bằng con vsmart 5tr máy đẹp nhẹ mỏng pin cũng tạm mỗi ngày sạc pin 1 lần bạn nào mua vì màn đẹp với camera nên mua còn mua để chơi trò_chơi không_nên lựa,4,2,2,3,0,0,1,0,3,0,0
Sản phẩm không có tai nghe hả bạn mình mua mà bên tgdd noi la k có tai nghe có đúng vậy k ạ,sản_phẩm không_có tai_nghe hả bạn mình mua bên tgdd noi la không_có tai_nghe có đúng vậy không_ạ,1,0,0,0,0,0,0,0,0,0,0
Sản phẩm đẹp. Tuyệt vời. Hi vọng trong qtrinh sd k xảy ra lỗi. Nv nhiệt tình. Ms,sản_phẩm đẹp tuyệt_vời hi_vọng trong qtrinh sd không_xảy ra lỗi nhân_viên nhiệt_tình ms,5,0,0,3,0,0,0,0,0,3,0
"Mua lâu rồi. vân tay quá kém dí mãi mới mở đc, chơi game (vd liên quân) thì cảm ứng ko nhạy rất kém, máy thì rất nóng nên thỉnh thoảng bị đơ 1 tý ( ko phải do mạng hay fps)lúc chơi  , loa ngoài chơi game khá nhỏ. Nếu bạn nào hay chô game nên chọn con khác chứ con này sang chảnh thì đc.",mua lâu rồi vân tay quá kém dí mãi mới mở được chơi trò_chơi vd liên_quân cảm_ứng không_nhạy rất kém máy rất nóng nên thỉnh_thoảng đứng máy 1 tý không_phải do mạng hay fps lúc chơi loa ngoài chơi trò_chơi khá nhỏ nếu bạn nào hay chô trò_chơi nên chọn con khác chứ con này sang chảnh được,1,0,0,3,1,0,1,0,0,0,0
"máy rất ok,mượt,chơi game quá đỉnh.có đều pin hơi tụt nhưng cho là ok.vừa vs túi tiền ok.",máy rất tốt nhanh chơi trò_chơi quá đỉnh có đều pin hơi tụt nhưng cho tốt vừa với túi_tiền tốt,5,2,0,0,0,1,3,3,0,0,0
Note10 . Bin rất tệ. Máy ko xài vẫn tuột phần trăm. Vừa sạt đầy 100% pin. Để đó ko xài từ ság tới tối về nhìn lại còn 40% vậy 60% pin kia ko làm dì mà sao mất nhỉ. Máy mua dk 1 tuần rồi. Pin rất tệ,note10 pin rất tệ máy không_xài vẫn tuột phần_trăm vừa sạt đầy 100 pin để đó không_xài từ ság tới tối về nhìn lại còn 40 vậy 60 pin kia không_làm dì sao mất nhỉ máy mua được 1 tuần rồi pin rất tệ,1,1,0,0,0,0,0,0,0,0,0
mình vừa mua dùng chơi game thì khỏi nói nhưng còn về xem phim trên youtube bật SD rất mờ so với điện thoại khác bật SD,mình vừa mua dùng chơi trò_chơi khỏi nói nhưng còn về xem phim trên youtube bật sd rất mờ so với điện_thoại khác bật sd,5,0,0,0,0,0,3,0,1,0,0
"Máy rất xịn 
Thứ nhất : chơi game mượt với chíp snap
Thứ hai : pin trâu xài cả ngày mà còn 50% 
Thư ba : màn hình đẹp chụp hình sáng",máy rất xịn thứ nhất : chơi trò_chơi nhanh với chíp snap thứ hai : pin trâu xài ngày còn 50 thư ba : màn_hình đẹp chụp hình sáng,5,3,3,0,0,3,3,0,3,0,0
"Sp tuyệt vời chắt mua em nó quá... Vì chán hàng made in China rồi, người Việt dùng hàng Việt.",sản_phẩm tuyệt_vời chắt mua em nó quá vì chán hàng made in china rồi người việt dùng hàng việt,5,0,0,0,0,3,0,0,0,3,0
mình mới mua hồi chiều .minh vo cài đặt tìm ram mà không thấy cho mình hỏi ram nó nằm ở đâu vậy,mình mới mua hồi chiều minh vo cài_đặt tìm ram không_thấy cho mình hỏi ram nó nằm ở đâu_vậy,5,0,0,0,0,0,0,0,0,0,0
"Mọi thứ xài thì khá ok, chỉ có pin tuột nhanh kinh khủng, không xài cũng tuột 100% chực được 5p là còn 95% ý là không chưa game đó",mọi thứ xài khá tốt chỉ có pin tuột nhanh kinh_khủng không_xài cũng tuột 100 chực được 5p còn 95 ý không_chưa trò_chơi đó,1,1,0,0,0,3,0,0,0,0,0
Thấy mọi người đánh giá nhiều lỗi nhưng đó là do phần mềm lúc các bạn đó mua máy là phần mềm chưa cập nhật. Mình mua máy được một tháng và dùng rất ok không một lỗi nào vì Xiaomi đã update phần mềm fix lỗi hết rồi. Các bạn yên tâm mua nhé .,thấy mọi người đánh_giá nhiều lỗi nhưng đó do phần_mềm lúc bạn đó mua máy phần_mềm chưa_cập_nhật mình mua máy được một tháng và dùng rất tốt không_một lỗi nào vì xiaomi đã update phần_mềm fix lỗi hết rồi bạn yên_tâm mua nhé,5,0,0,0,0,3,3,0,0,0,0
"Dùng tạm tạm , camera quá tệ , phần mềm thì cài các ứng dụng mặc định như vinid ,mua sắm...quá nhiều , mua điện thoại để dùng cá nhân chứ không phải mua điện thoại để Vinmart quảng cáo . Giá rẻ không đáng bỏ tiền mua",dùng tạm tạm camera quá tệ phần_mềm cài ứng_dụng mặc_định như vinid mua_sắm quá nhiều mua điện_thoại để dùng cá_nhân chứ không_phải mua điện_thoại để vinmart quảng_cáo giá rẻ không_đáng bỏ tiền mua,1,0,1,0,0,1,1,2,0,1,0
Máy mượt pin trâu nhưng Xạc pin mà nó cứ ấm ấm z có nguy hiểm không ad ngoài ra thì rất tốt,máy nhanh pin trâu nhưng sạc pin nó cứ ấm ấm vậy có nguy_hiểm không_admin ngoài_ra rất tốt,5,2,0,0,0,3,3,0,0,0,0
Cho e hỏi máy mua được một năm r nhưng dạo gần đây pin hay tụt nhanh lắm.giúp em cách khác phục với,cho e hỏi máy mua được một năm rồi nhưng dạo gần đây pin hay tụt nhanh lắm giúp em cách khác phục với,5,1,0,0,0,0,0,0,0,0,0
Sản phẩm xài tốt 2 tháng rồi mà chưa thấy lỗi nào xài rất tốt chơi pubg và call ò duty mobile đều max seettings ko gật lag nào hết,sản_phẩm xài tốt 2 tháng rồi chưa_thấy lỗi nào xài rất tốt chơi pubg và call ò duty điện_thoại đều max seettings không_gật giật nào hết,5,0,0,0,0,3,3,0,0,0,0
Mới mua đc 15 ngày. Xài tạm ổn nhưng pin tụt nhanh. Máy sạc bị nóng.mới mua mà chưa gì máy đã bị nóng. Còn lại ổn,mới mua được 15 ngày xài tạm tốt nhưng pin tụt nhanh máy sạc nóng mới mua chưa_gì máy đã nóng còn lại tốt,3,1,0,0,0,3,0,0,0,0,0
Good máy dùng mượt pin thì hơi kém tí nói chung ok nhân viên nhiệt tình thanks thế giới di động,tốt máy dùng nhanh pin hơi kém tí nói_chung tốt nhân_viên nhiệt_tình thanks thế_giới di_động,5,1,0,0,0,3,3,0,0,3,0
Sản phẩm rất tốt. Chơi game rất tốt . pin trâu . mỗi tội ứng dụng của máy dính quảng cáo quá nhiều . trong phần cài đặt cũng có quảng cáo của gg chèn vào .,sản_phẩm rất tốt chơi trò_chơi rất tốt pin trâu mỗi tội ứng_dụng của máy dính quảng_cáo quá nhiều trong phần cài_đặt cũng có quảng_cáo của gg chèn vào,5,3,0,0,0,3,2,0,0,0,0
Sai lầm khi mua đt này ghê ă. Nghe nv tư vấn xoq mua lun về xem lại cấu hình mới thấy chán. Tầm giá này mà màn hình chỉ mức HD+ . sử sụng chip rất yếu chơi game thì giật liên tục.,sai_lầm khi mua điện_thoại này ghê ă nghe nhân_viên tư_vấn xoq mua lun về xem_lại cấu_hình mới thấy chán tầm giá này màn_hình chỉ mức hd sử sụng chip rất yếu chơi trò_chơi giật liên_tục,2,0,0,0,0,1,1,2,1,0,0
"mình mới mua chiếc điện 3 GB chiếc màu tím . Với mức giá như thế này thì các bạn nên mua một chiếc cho bản thân . Chơi game mượt, loa tốt, wifi ổn, các tác vụ bình thường thì ok",mình mới mua chiếc điện 3 gb chiếc màu tím với mức giá_như thế này bạn nên mua một chiếc cho bản_thân chơi trò_chơi nhanh loa tốt wifi tốt tác vụ bình_thường tốt,5,0,0,0,3,3,3,0,0,0,0
Thiết kế đẹp. So với giá thành thì chất lượng cực ổn. Mình đi du lịch cầm con này theo selfie rất ưng ý.,thiết_kế đẹp so với giá_thành chất_lượng cực tốt mình đi du_lịch cầm con này theo selfie rất ưng_ý,5,0,3,3,0,3,0,2,0,0,0
Sao mình sài đc 1 tháng thì bị hư lỗ cắm tai nghe và khi gọi cho người khác thì màn hình bị tắt,sao mình xài được 1 tháng hư lỗ cắm tai_nghe và khi gọi cho người khác màn_hình tắt,3,0,0,1,2,0,0,0,0,0,0
"Mua máy dc 1 tuần. Đối với 6 triệu thì máy quá ok.  Mọi thứ đều hoạt động mượt mà. Đặc biệt pin trâu. Xài 2 ngày mới cần sạc pin lại. Mình dùng toàn 3G, k dùng wifi, ít chơi game, chỉ Facebook, zalo, Youtube, thỉnh thoảng có xem phim mà đến tối muốn cho hết pin để sạc mà k hết dc. Xứng đáng số tiền bỏ ra.",mua máy được 1 tuần đối_với 6 triệu máy quá tốt mọi thứ đều hoạt_động nhanh đặc_biệt pin trâu xài 2 ngày mới sạc pin lại mình dùng toàn mạng không_dùng wifi ít chơi trò_chơi chỉ facebook zalo youtube thỉnh_thoảng có xem phim đến tối muốn cho hết pin để sạc không_hết được xứng_đáng số tiền bỏ ra,5,3,0,0,0,3,3,3,0,0,0
"Điện thoại khi tin nhắn tới lâu lâu sẽ nghe nó bị rè rè , âm thâm tin nhắn như bị đè nén đi",điện_thoại khi tin nhắn tới lâu_lâu sẽ nghe nó rè rè âm thâm tin nhắn như đè_nén đi,4,0,0,0,1,0,0,0,0,0,0
Ứng dụng văn phòng rất chán đặc biệt ng sử dunbj email làm việc như mình. Còn chơi game vs lướt web thì chấp nhận đc. Pin khoẻ,ứng_dụng văn_phòng rất chán đặc_biệt ng sử dunbj email làm_việc như mình còn chơi trò_chơi với lướt web chấp_nhận được pin khoẻ,3,3,0,0,0,0,1,0,0,0,0
Khá ok ngon về mọi thứ màn mượt.pin khỏe . sạc maxx sướng.cảm giác phê lòi..... hơn hẳn SS về mọi mặt.hehe,khá tốt ngon về mọi thứ màn nhanh pin khỏe sạc maxx sướng cảm_giác phê lòi hơn hẳn samsung về mọi mặt hehe,5,3,0,0,3,3,0,0,0,3,0
"Hên ghê. Lúc mua em này được giảm 700k giá ưu đãi 2tr990. Mua 2 ốp lưng giá 90k+thêm khách hàng thân thiết giảm thêm 150k nữa nên tậu luôn cái tai phone. Nói gì nói chứ thấy máy chạy mượt mà sao nhiều bạn lại chê. Mình không chơi game nên như vậy là quá Ok rồi. Nhân viên nhiệt tình,vui vẻ.",hên ghê lúc mua em này được giảm 700 nghìn giá ưu_đãi 2tr990 mua 2 ốp lưng giá 90 nghìn thêm khách_hàng thân_thiết giảm thêm 150 nghìn nữa nên tậu luôn tai điện_thoại nói gì nói chứ thấy máy chạy nhanh sao nhiều bạn lại không_thích mình không_chơi trò_chơi nên như_vậy quá tốt rồi nhân_viên nhiệt_tình vui_vẻ,5,0,0,0,0,3,3,3,0,3,0
Mới mua cách đay mấy ngày thật sự rất tệ. load hình quá chậm và nhảy màn hinh.loa nghe nhạc qua nhỏ,mới mua cách đay mấy ngày thật_sự rất tệ load hình quá chậm và nhảy màn hinh loa nghe nhạc qua nhỏ,1,0,0,0,1,1,1,0,0,0,0
Máy dùng tạm được. Đang dùng quen IP sáng máy này thì ko ưng về cảm ứng và chất lượng video. Xem nhiều gây nhức mắt. Được cái pin khoẻ. Dùng cả buổi sáng hết 8%.,máy dùng tạm được đang dùng quen iphone sáng máy này không_ưng về cảm_ứng và chất_lượng video xem nhiều gây nhức mắt được pin khoẻ dùng buổi sáng hết 8,3,3,0,0,1,2,0,0,1,0,0
Máy bỏ túi hay bị chụp màn hình loạn xì ngầu. Máy mới nhưng loa rất rè. Có ai bị giống mình không,máy bỏ_túi hay chụp màn_hình loạn xì ngầu máy mới nhưng loa rất rè có ai giống mình không,3,0,0,0,1,0,0,0,0,0,0
"đừng có mua nếu ai đó đang dự định mua. sản phẩm xài 1,2 tháng có dấu hiệu đơ máy, cảm ứng lâu lâu không nhạy. nói chung rất thất vọng khi mua. nói trước kẻo mốt ôm hận.",đừng_có mua nếu ai đó đang dự_định mua sản_phẩm xài 1 2 tháng có dấu_hiệu đứng máy máy cảm_ứng lâu_lâu không_nhạy nói_chung rất thất_vọng khi mua nói trước kẻo mốt ôm hận,1,0,0,0,1,1,1,0,0,0,0
